,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
3171,0.0,0.04,0.05333333333333334,0.0,0.04,0.0,0.02,0.0,0.09,0.09083333333333334,0.02
3172,0.91,0.01,0.03,0.0,0.0175,0.0,0.03,0.0,0.01,0.046,0.0
3173,0.0,0.035,0.05,0.0,0.0,0.0,0.02,0.0,0.03,0.07,0.01
3174,0.01,0.01,0.08066666666666666,0.0,0.01,0.01,0.06,0.0,0.08,0.26,0.0
3175,0.01,0.07,0.11,0.0,0.03,0.02,0.04,0.03,0.06333333333333332,0.09,0.0325
3176,0.03,0.04,0.05333333333333333,0.02,0.03,0.01,0.09,0.02,0.0775,0.11,0.0
3177,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0
3178,0.04,0.03,0.03,0.01,0.0,0.02,0.04,0.0,0.09666666666666666,0.055,0.04
3179,0.03,0.05166666666666666,0.084,0.01,0.02,0.01,0.01,0.055999999999999994,0.055,0.16,0.01
3180,0.0,0.05,0.0925,0.0,0.02,0.04,0.05,0.04,0.02,0.12,0.02
3181,0.89,0.01,0.02085714285714286,0.0,0.0,0.012,0.01,0.0,0.04,0.01,0.03
3182,0.0,0.02,0.0,0.0,0.01,0.0,0.06,0.0,0.13,0.34,0.01
3183,0.04,0.003333333333333333,0.065,0.01,0.01,0.01,0.11,0.04,0.1,0.06,0.01
3184,0.03,0.0,0.02,0.01,0.015,0.0,0.02,0.01,0.106,0.11333333333333333,0.0
3185,0.0,0.02,0.02,0.0,0.01,0.0,0.06666666666666667,0.0,0.07,0.8083333333333332,0.03
3186,0.0,0.06,0.16666666666666669,0.01,0.02,0.0,0.03,0.01,0.02,0.06,0.026000000000000002
3187,0.0,0.07,0.035,0.0,0.01,0.0,0.0,0.0,0.03,0.04,0.0
3188,0.0,0.03333333333333333,0.1,0.02,0.03,0.02,0.02,0.0,0.10583333333333333,0.14533333333333334,0.02
3189,0.41,0.03,0.016666666666666666,0.0,0.01,0.01,0.01,0.01,0.04,0.11,0.0
3190,0.02,0.035,0.07,0.0,0.02,0.026666666666666665,0.015,0.045,0.092,0.115,0.03
3191,0.0,0.0,0.02,0.0,0.0,0.0,0.135,0.0,0.09,0.17,0.0
3192,0.02,0.06956521739130435,0.115,0.03,0.06,0.02,0.08,0.06,0.07916666666666666,0.131,0.01
3193,0.0,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3194,0.0,0.0,0.03,0.0,0.0,0.0,0.04,0.0,0.04,0.09,0.0
3195,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.05,0.07,0.0
3196,0.0,0.05,0.05,0.0,0.06,0.0,0.04333333333333333,0.0,0.08,0.12,0.04
3197,0.0,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.05,0.02,0.01
3198,0.08,0.06849999999999999,0.15666666666666665,0.01,0.055,0.0,0.09583333333333334,0.05,0.21333333333333335,0.16166666666666665,0.03666666666666667
3199,0.0,0.0,0.0,0.01,0.0,0.003333333333333333,0.05,0.0,0.065,0.17,0.01
3200,0.02,0.01,0.04275,0.02,0.04,0.03,0.026666666666666665,0.02,0.04,0.15083333333333332,0.0
3201,0.0,0.05333333333333333,0.1,0.0,0.01,0.0,0.08,0.02,0.047,0.27045454545454545,0.02
3202,0.0,0.03,0.086,0.0,0.0,0.0,0.03,0.0,0.03,0.08,0.01
3203,0.02,0.038,0.11833333333333332,0.01,0.045,0.03,0.01,0.0,0.11,0.1,0.01
3204,0.15,0.01,0.06,0.01,0.03,0.0,0.01,0.02,0.05,0.1025,0.02
3205,0.01,0.024333333333333335,0.2648333333333333,0.01,0.01,0.0,0.0,0.0,0.025,0.5646666666666667,0.02
3206,0.0,0.18,0.44,0.0,0.0,0.0,0.09666666666666666,0.01,0.08,0.56,0.59
3207,0.04,0.03,0.032,0.13,0.035,0.0,0.0,0.01,0.02,0.06333333333333332,0.01
3208,0.02,0.01,0.07,0.0,0.005,0.04,0.03,0.04,0.05,0.09666666666666666,0.01
3209,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.02,0.02,0.0
3210,0.33,0.01,0.026666666666666665,0.0,0.0,0.0,0.01,0.01,0.05,0.05,0.0
3211,0.01,0.0,0.0,0.01,0.0,0.0,0.015,0.0,0.18,0.03,0.0
3212,0.01,0.03125,0.04,0.0,0.02,0.065,0.01,0.02,0.0,0.02,0.0
3213,0.01,0.16,0.045,0.04,0.04583333333333334,0.0,0.04,0.03,0.02,0.22,0.01
3214,0.08,0.02333333333333333,0.065,0.0,0.01,0.01,0.016666666666666666,0.0,0.07,0.14333333333333334,0.01
3215,0.0,0.01,0.02,0.0,0.0,0.0,0.11166666666666666,0.0,0.04,0.08666666666666668,0.0
3216,0.03,0.02,0.026000000000000002,0.01,0.02,0.02,0.044000000000000004,0.0,0.125,0.11,0.01
3217,0.0,0.03,0.04,0.0,0.003333333333333333,0.0,0.0525,0.0,0.05,0.105,0.01
3218,0.02,0.0,0.05,0.01,0.02,0.0,0.05,0.0,0.07,0.34,0.0
3219,0.02,0.04666666666666666,0.09,0.0,0.04,0.0,0.0475,0.0,0.08,0.08,0.03
3220,0.0,0.01,0.02,0.0,0.01,0.0,0.07,0.0,0.18,0.01,0.0
3221,0.0,0.01,0.649,0.0,0.0,0.0,0.01,0.01,0.01,0.045,0.0
3222,0.0,0.01,0.01,0.0,0.0,0.05176923076923077,0.01,0.0,0.04333333333333333,0.32766666666666666,0.0
3223,0.0,0.016833333333333332,0.34818650793650796,0.0,0.0,0.0,0.02,0.0,0.056666666666666664,0.586,0.0668030303030303
3224,0.0,0.0,0.20049999999999998,0.01,0.04,0.0,0.0,0.01,0.105,0.47,0.01
3225,0.01,0.02,0.04,0.0,0.03,0.0,0.03,0.02,0.065,0.035,0.01
3226,0.01,0.03,0.02,0.0,0.01,0.0,0.235,0.0,0.27,0.06,0.0
3227,0.0,0.0,0.035,0.0,0.01,0.0,0.07,0.0,0.0525,0.02,0.0
3228,0.03,0.0,0.075,0.02,0.01,0.05,0.01,0.0,0.0375,0.0925,0.02
3229,0.0,0.02,0.028999999999999998,0.01,0.04,0.0,0.0,0.01,0.02,0.21850000000000003,0.0
3230,0.08,0.13583333333333333,0.6,0.0,0.08,0.016666666666666666,0.05666666666666667,0.05333333333333334,0.15166666666666667,0.133,0.056666666666666664
3231,0.02,0.045,0.05,0.0,0.0,0.01,0.025,0.01,0.05333333333333333,0.105,0.03
3232,0.0,0.0275,0.04,0.02,0.0,0.01,0.0025,0.01,0.035,0.15,0.0
3233,0.0,0.05333333333333333,0.15194444444444444,0.0,0.0,0.14214285714285713,0.01,0.0,0.01,0.5971428571428572,0.065
3234,0.01,0.03,0.16166666666666668,0.0,0.02,0.005,0.10035714285714285,0.02,0.09666666666666668,0.19333333333333327,0.03
3235,0.0,0.065,0.08,0.0,0.1,0.02,0.04,0.04,0.06,0.285,0.0
3236,0.0,0.04,0.11,0.0,0.01,0.0,0.01,0.0,0.47,0.7983333333333333,0.0
3237,0.01,0.05,0.06,0.0,0.07,0.03,0.08,0.02,0.04,0.135,0.02
3238,0.0,0.0,0.01,0.0,0.0,0.01,0.15,0.0,0.2,0.04,0.0
3239,0.02,0.075,0.085,0.0,0.0,0.01,0.03,0.01,0.03,0.075,0.01
3240,0.01,0.02,0.055,0.0,0.01,0.0725,0.02,0.01,0.04,0.49,0.01
3241,0.0,0.01,0.04,0.0,0.03,0.0,0.16,0.0,0.1,0.02,0.0
3242,0.01,0.04,0.08,0.0,0.02,0.01,0.035,0.03,0.01,0.03,0.02
3243,0.0,0.0,0.05333333333333333,0.68,0.0,0.0,0.0,0.0,0.01,0.03,0.0
3244,0.05,0.025,0.07,0.01,0.03166666666666667,0.02,0.01,0.03,0.01,0.085,0.02
3245,0.0,0.04,0.065,0.0,0.04,0.03,0.01,0.02,0.04,0.16,0.02
3246,0.0,0.01,0.01,0.0,0.0,0.0,0.88,0.0,0.84,0.0,0.0
3247,0.0,0.021666666666666664,0.0,0.0,0.0,0.01,0.0625,0.0,0.1025,0.11,0.0
3248,0.0,0.0,0.01,0.0,0.03,0.0,0.22,0.0,0.64,0.01,0.01
3249,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.05666666666666667,0.0,0.23,0.03,0.0
3250,0.01,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.05,0.0,0.0
3251,0.0,0.03,0.11199999999999999,0.0,0.03,0.0,0.03,0.01,0.655,0.56,0.0
3252,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0
3253,0.0,0.03,0.04,0.0,0.0,0.0,0.1,0.0,0.07,0.03,0.0
3254,0.0,0.005,0.01,0.01,0.0,0.022000000000000002,0.01,0.0,0.15416666666666667,0.06,0.0
3255,0.06,0.055,0.11,0.01,0.02,0.01,0.045,0.05,0.05,0.08,0.01
3256,0.0,0.01,0.0,0.0,0.0,0.0,0.06,0.0,0.04,0.0,0.01
3257,0.0,0.02,0.02,0.0,0.07,0.0,0.18,0.04,0.07,0.11,0.0
3258,0.04,0.04333333333333333,0.04,0.0,0.026666666666666665,0.026666666666666665,0.08,0.01,0.08,0.09,0.02
3259,0.01,0.03,0.02,0.01,0.01,0.01,0.03,0.03,0.03,0.215,0.01
3260,0.0,0.0275,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3261,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0
3262,0.64,0.02,0.04,0.0,0.02,0.0,0.075,0.03,0.0425,0.05,0.0
3263,0.02,0.12,0.095,0.05,0.01,0.01,0.04,0.04,0.05,0.12333333333333334,0.01
3264,0.01,0.08,0.19333333333333333,0.0,0.01,0.02,0.04,0.0,0.04,0.03,0.01
3265,0.02,0.02333333333333333,0.47578571428571415,0.01,0.01,0.01,0.03,0.01,0.06,0.04,0.0
3266,0.27,0.024,0.02,0.0,0.006666666666666666,0.01,0.01,0.06666666666666667,0.04,0.08,0.0
3267,0.01,0.02,0.04,0.0,0.0,0.01,0.01,0.03,0.02,0.03,0.0
3268,0.01,0.06,0.13,0.0,0.0,0.01,0.13,0.0,0.15,0.13,0.0
3269,0.0,0.04,0.03,0.18,0.0025,0.0,0.07,0.03,0.07,0.0625,0.0
3270,0.0,0.0,0.01,0.0,0.0,0.04,0.02,0.05,0.035,0.02,0.01
3271,0.0,0.035,0.075,0.03,0.04,0.01,0.02,0.05,0.06,0.15,0.0
3272,0.0,0.23233333333333334,0.04,0.0,0.0,0.0,0.06,0.0,0.09,0.02,0.01
3273,0.0,0.002,0.04333333333333333,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.01
3274,0.0,0.016666666666666666,0.0725,0.0,0.05,0.0,0.19833333333333333,0.0,0.0225,0.13416666666666668,0.0
3275,0.0,0.3628333333333334,0.2891666666666666,0.0,0.01,0.01,0.02,0.01,0.03,0.1793809523809524,0.0
3276,0.47,0.0,0.02,0.0,0.0,0.003333333333333333,0.01,0.0,0.02,0.03,0.0
3277,0.0,0.03,0.07333333333333333,0.0,0.0,0.0175,0.022857142857142857,0.07,0.05,0.09,0.0
3278,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.03,0.3,0.01
3279,0.0,0.3506904761904761,0.056857142857142856,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
3280,0.0,0.036000000000000004,0.10833333333333334,0.0,0.07,0.01,0.09833333333333334,0.01,0.06,0.225,0.01
3281,0.0,0.02,0.01,0.03,0.0,0.01,0.065,0.0,0.11,0.01,0.0
3282,0.0,0.016666666666666666,0.015,0.0,0.02,0.0,0.02,0.0,0.08,0.06,0.01
3283,0.03,0.02,0.07333333333333333,0.02,0.02,0.03,0.01,0.02,0.05666666666666667,0.11666666666666665,0.02
3284,0.02,0.04,0.05,0.0,0.02,0.01,0.0,0.0,0.05666666666666667,0.2516666666666667,0.03
3285,0.0,0.02,0.06,0.0,0.0,0.0,0.01,0.0,0.01,0.03,0.0
3286,0.02,0.22492424242424242,0.146,0.0,0.0,0.0,0.02,0.0,0.05,0.09,0.02
3287,0.0,0.0,0.005,0.0,0.0,0.0,0.04666666666666666,0.0,0.04,0.01,0.0
3288,0.37,0.04,0.08666666666666666,0.0,0.03,0.02,0.07,0.0,0.08,0.10400000000000001,0.01
3289,0.0,0.03,0.01,0.01,0.01,0.01,0.03,0.0,0.12,0.05,0.02
3290,0.03,0.005,0.04,0.0,0.0,0.0,0.04,0.02,0.1,0.1,0.02
3291,0.01,0.01,0.04,0.01,0.01,0.0,0.01,0.0,0.07,0.02,0.0
3292,0.0,0.08066666666666666,0.095,0.01,0.02,0.0,0.07,0.04,0.07,0.13,0.01
3293,0.0,0.0425,0.0825,0.0,0.01,0.0,0.06,0.05,0.035,0.17,0.0
3294,0.0,0.01,0.08,0.0,0.0,0.01,0.02,0.01,0.04666666666666666,0.05,0.0
3295,0.84,0.0025,0.04,0.0,0.0225,0.0,0.01,0.01,0.03,0.01,0.0
3296,0.0,0.01,0.06,0.0,0.01,0.0,0.0425,0.01,0.45,0.02,0.01
3297,0.0,0.01,0.03,0.01,0.14,0.01,0.06,0.0,0.1,0.02,0.0
3298,0.0,0.01,0.02,0.02,0.0,0.0,0.03,0.01,0.04,0.35,0.0
3299,0.0,0.0,0.0,0.01,0.03,0.0,0.03,0.0,0.15,0.04,0.0
3300,0.01,0.02,0.05,0.02,0.0,0.01,0.02,0.0,0.04,0.1725,0.02
3301,0.01,0.066,0.095,0.0,0.005,0.0,0.01,0.01,0.05,0.09,0.01
3302,0.01,0.022000000000000002,0.39266666666666666,0.0,0.0,0.01,0.03,0.0,0.13,0.5738333333333333,0.009166666666666667
3303,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.07083333333333333,0.0,0.0
3304,0.0,0.11333333333333333,0.08,0.0,0.01,0.0,0.01,0.0,0.02,0.01,0.01
3305,0.0,0.023333333333333334,0.09,0.01,0.0275,0.01,0.08,0.03,0.09,0.135,0.04
3306,0.01,0.03333333333333333,0.09666666666666668,0.01,0.01,0.0,0.05,0.01,0.0475,0.15,0.01
3307,0.02,0.016666666666666666,0.0275,0.0,0.03,0.0,0.02,0.01,0.01,0.01,0.04
3308,0.02,0.0625,0.02,0.04,0.03,0.02,0.03,0.0,0.060833333333333336,0.15,0.02
3309,0.01,0.33,0.46,0.02,0.01,0.28,0.01,0.03,0.07,0.03,0.01
3310,0.01,0.0225,0.0575,0.0,0.015,0.026666666666666665,0.10166666666666668,0.05,0.07135714285714286,0.2,0.06
3311,0.0,0.024166666666666666,0.0675,0.0,0.02,0.0,0.04,0.0,0.06,0.055,0.02
3312,0.0,0.065,0.105,0.0,0.01,0.0,0.04,0.01,0.03,0.095,0.03
3313,0.03,0.04,0.073,0.01,0.03,0.05,0.01,0.03,0.045,0.11,0.0
3314,0.01,0.0,0.07,0.0,0.01,0.006666666666666666,0.04,0.0,0.03,0.41,0.0
3315,0.0,0.0,0.01,0.0,0.0,0.0,0.15,0.01,0.02,0.0,0.0
3316,0.01,0.1,0.7816666666666666,0.01,0.03,0.04,0.0575,0.013333333333333332,0.06,0.07,0.06
3317,0.0,0.07,0.08,0.01,0.0475,0.04,0.03,0.05,0.05,0.06,0.0
3318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.01
3319,0.02,0.084,0.0625,0.0,0.03,0.03,0.04,0.11,0.04,0.11,0.05
3320,0.0,0.03,0.03,0.0,0.0,0.01,0.05,0.0,0.08416666666666668,0.06,0.0
3321,0.0,0.0,0.01,0.0,0.4746666666666666,0.01,0.0,0.01,0.02,0.45683333333333337,0.4385
3322,0.01,0.0,0.01,0.0,0.025,0.04,0.03,0.05,0.01,0.16,0.03
3323,0.01,0.0,0.03,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.0
3324,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.21,0.03,0.0
3325,0.0,0.03,0.02,0.0,0.0,0.0,0.09,0.0,0.04,0.02,0.0
3326,0.2,0.03,0.023333333333333334,0.0,0.01,0.0,0.05,0.03,0.01,0.04,0.0
3327,0.83,0.01,0.03,0.0,0.0,0.0,0.01,0.0,0.025,0.02,0.0
3328,0.01,0.03,0.18783333333333335,0.0,0.0,0.0,0.02,0.0,0.05,0.1175,0.02
3329,0.0,0.02,0.0375,0.0,0.0025,0.023333333333333334,0.0,0.02,0.045,0.062,0.01
3330,0.01,0.02,0.04,0.0,0.0,0.01,0.06666666666666667,0.0,0.07,0.56,0.01
3331,0.0,0.02,0.032,0.02,0.01,0.0,0.01,0.0,0.03,0.01,0.0
3332,0.82,0.04,0.021285714285714286,0.01,0.002,0.0,0.006666666666666666,0.0,0.02,0.052000000000000005,0.0
3333,0.0,0.01,0.01,0.02,0.0,0.0,0.03,0.01,0.06,0.065,0.0
3334,0.01,0.01,0.08333333333333331,0.01,0.03,0.0,0.03,0.0,0.17,0.075,0.01
3335,0.0,0.0,0.03,0.0,0.025,0.0,0.01,0.0,0.27,0.05,0.0
3336,0.0,0.0,0.05,0.0,0.0,0.0,0.02,0.01,0.01,0.02,0.0
3337,0.0,0.07400000000000001,0.145,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0
3338,0.0,0.02,0.03,0.01,0.02,0.02,0.02,0.08,0.06,0.06,0.0
3339,0.01,0.03,0.08,0.0,0.02,0.0,0.035,0.05,0.09,0.07666666666666666,0.0
3340,0.01,0.05,0.12375,0.0,0.0,0.015,0.07,0.03,0.02,0.105,0.05
3341,0.01,0.025,0.04,0.07,0.04,0.0,0.0,0.026000000000000002,0.06,0.03,0.03
3342,0.01,0.01,0.1,0.02,0.03,0.0,0.035,0.0,0.045,0.20833333333333331,0.03
3343,0.0,0.01,0.0475,0.02,0.0,0.0,0.06,0.0,0.03,0.04,0.0
3344,0.0,0.02,0.04,0.0,0.02,0.0,0.06,0.0,0.02,0.04,0.01
3345,0.0,0.05833333333333334,0.065,0.0,0.02,0.0,0.08666666666666668,0.0,0.055,0.09,0.0
3346,0.01,0.013333333333333332,0.02,0.0,0.01,0.02,0.06,0.0,0.07333333333333333,0.115,0.0
3347,0.01,0.43733333333333335,0.36749999999999994,0.01,0.0,0.0,0.01,0.01,0.4016666666666666,0.06333333333333332,0.01
3348,0.06,0.057,0.11666666666666665,0.01,0.02333333333333333,0.01,0.07666666666666666,0.04,0.07,0.1,0.02
3349,0.0,0.14,0.06,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.01
3350,0.01,0.06,0.06,0.0,0.0175,0.01,0.03,0.0,0.07666666666666666,0.04,0.0
3351,0.81,0.01,0.02,0.03,0.005,0.0,0.015,0.0,0.02,0.02,0.01
3352,0.01,0.01,0.05333333333333333,0.02,0.02,0.01,0.02,0.0,0.02,0.1375,0.02
3353,0.05,0.045,0.06416666666666666,0.0,0.0,0.01,0.05,0.02,0.05,0.06,0.02
3354,0.0,0.01,0.0,0.0,0.0,0.0,0.08,0.01,0.24,0.02,0.0
3355,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.14461538461538462,0.0,0.0
3356,0.08,0.07,0.06,0.02,0.013999999999999999,0.0,0.08166666666666667,0.04,0.1625,0.15333333333333335,0.044000000000000004
3357,0.81,0.0,0.06,0.0,0.0,0.015,0.01,0.0,0.01,0.0475,0.0
3358,0.01,0.03166666666666666,0.182,0.02,0.08,0.013999999999999999,0.09,0.02,0.35,0.51,0.0
3359,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
3360,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.0
3361,0.0,0.03,0.0,0.01,0.02,0.0,0.04,0.03,0.06,0.062,0.0
3362,0.0,0.0,0.08,0.0,0.0,0.01,0.06,0.0,0.03,0.01,0.0
3363,0.61,0.03,0.01,0.0,0.0,0.0,0.013333333333333332,0.005,0.01,0.02,0.0
3364,0.02,0.02,0.02,0.24,0.02,0.0,0.01,0.0,0.02,0.04,0.0
3365,0.01,0.0,0.05,0.02,0.0,0.0,0.01,0.02,0.05,0.11,0.01
3366,0.0,0.2,0.32,0.0,0.0,0.0,0.02,0.0,0.08,0.07,0.0
3367,0.0,0.055999999999999994,0.03,0.0,0.01,0.0,0.17,0.02,0.15,0.03,0.01
3368,0.0,0.0,0.01,0.0,0.01,0.0,0.09,0.0,0.04,0.01,0.0
3369,0.0,0.0,0.01,0.0,0.03,0.0,0.4,0.0,0.3,0.01,0.01
3370,0.0,0.05,0.0,0.0,0.0,0.01,0.01,0.02,0.04,0.07,0.01
3371,0.88,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0
3372,0.01,0.036000000000000004,0.10533333333333332,0.0,0.0325,0.02,0.025,0.03,0.11,0.165,0.0
3373,0.0,0.01,0.02,0.01,0.0,0.0,0.07,0.0,0.09,0.04,0.0
3374,0.0,0.01,0.09,0.0,0.06,0.03,0.08,0.0,0.11,0.06,0.0
3375,0.0,0.013333333333333332,0.022000000000000002,0.02,0.0,0.0,0.01,0.0,0.05,0.19816666666666666,0.02
3376,0.04,0.05,0.03666666666666667,0.0,0.0,0.02,0.03,0.01,0.07,0.0875,0.0
3377,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0
3378,0.05,0.11,0.22899999999999998,0.01,0.0,0.05,0.02,0.01,0.0,0.1,0.02
3379,0.02,0.03,0.051500000000000004,0.01,0.01,0.02,0.05,0.01,0.08766666666666666,0.11833333333333332,0.028333333333333332
3380,0.0,0.03,0.04,0.0,0.0,0.0,0.095,0.02,0.09,0.07,0.02
3381,0.0,0.03,0.11416666666666667,0.0,0.0,0.0,0.055,0.0,0.02,0.08166666666666667,0.0
3382,0.01,0.39772222222222225,0.40526190476190477,0.0,0.01,0.0,0.41,0.0,0.3123333333333333,0.07333333333333333,0.3398333333333333
3383,0.05,0.084,0.11900000000000001,0.0,0.016666666666666666,0.013999999999999999,0.02,0.03,0.025,0.08,0.01
3384,0.0,0.01,0.01,0.0,0.07,0.0,0.05,0.0,0.06,0.105,0.0
3385,0.0,0.03,0.02,0.01,0.01,0.0,0.02,0.0,0.036000000000000004,0.065,0.0
3386,0.0,0.02,0.04,0.01,0.04,0.01,0.03,0.01,0.06,0.04,0.026666666666666665
3387,0.02,0.06,0.08666666666666666,0.0,0.016666666666666666,0.003333333333333333,0.0,0.0,0.09,0.105,0.0
3388,0.0,0.01,0.01,0.0,0.0,0.0,0.24,0.0,0.1,0.0,0.0
3389,0.33,0.02,0.032,0.0,0.0,0.01,0.01,0.01,0.02,0.09,0.0
3390,0.0,0.0,0.06,0.0,0.04,0.0,0.07,0.0044444444444444444,0.23,0.01,0.0
3391,0.0,0.24333333333333332,0.3289999999999999,0.03,0.03,0.01,0.18033333333333332,0.01,0.03,0.04,0.12
3392,0.05,0.095,0.08083333333333333,0.0,0.04,0.0,0.02,0.0,0.09,0.135,0.01
3393,0.0,0.0125,0.0,0.0,0.0,0.0,0.068,0.0,0.05,0.02,0.0
3394,0.0,0.18,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.0
3395,0.0,0.0,0.04,0.0,0.01,0.0,0.13666666666666666,0.01,0.35,0.01,0.0
3396,0.01,0.1175,0.26983333333333337,0.0,0.04533333333333333,0.0,0.06166666666666666,0.0,0.02,0.06416666666666666,0.015
3397,0.0,0.0,0.02,0.0,0.0,0.0,0.14,0.0,0.016,0.02,0.01
3398,0.02,0.06,0.235,0.0,0.11,0.015,0.03,0.0125,0.1,0.32,0.0
3399,0.0,0.02,0.04,0.09,0.14,0.01,0.016666666666666666,0.0,0.04,0.07,0.0
3400,0.03,0.03,0.1545,0.0,0.03,0.0,0.07333333333333333,0.0,0.09666666666666666,0.19,0.05
3401,0.0,0.02428571428571429,0.1,0.0,0.0,0.0,0.32,0.0,0.03,0.0,0.0
3402,0.0,0.03,0.07,0.0,0.01,0.04,0.05,0.02,0.09,0.06,0.03
3403,0.0,0.02,0.01,0.01,0.0,0.0,0.04,0.0,0.05,0.06,0.0
3404,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,0.0
3405,0.0,0.0,0.03,0.0,0.0,0.02,0.03,0.0,0.0,0.04,0.0
3406,0.0,0.04,0.01,0.0,0.0,0.0,0.02,0.01,0.01,0.30333333333333334,0.0
3407,0.02,0.0425,0.1007142857142857,0.0,0.034333333333333334,0.025,0.10316666666666667,0.01,0.08,0.17,0.0425
3408,0.8,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0
3409,0.0,0.04,0.06,0.0,0.01,0.0,0.03,0.0,0.02,0.05,0.01
3410,0.0,0.0,0.08,0.0,0.02,0.01,0.013333333333333332,0.0,0.07,0.13,0.0
3411,0.02,0.13983333333333334,0.09883333333333337,0.01,0.08,0.10183333333333333,0.04,0.02,0.10833333333333332,0.06,0.01
3412,0.0,0.03,0.11,0.06,0.04,0.0,0.03,0.0,0.065,0.05285714285714285,0.0
3413,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.03,0.04,0.0
3414,0.01,0.03,0.06,0.0,0.01,0.0,0.02,0.03,0.16,0.14,0.01
3415,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.01,0.01,0.0
3416,0.0,0.0,0.05,0.0,0.11,0.0,0.02,0.09,0.04666666666666667,0.06,0.01
3417,0.0,0.052000000000000005,0.016666666666666666,0.0,0.01,0.01,0.07,0.01,0.06333333333333332,0.47,0.04
3418,0.0,0.026000000000000002,0.03,0.0,0.1,0.02,0.03,0.0,0.013999999999999999,0.24,0.03
3419,0.95,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01
3420,0.01,0.09333333333333332,0.15,0.02,0.045,0.04,0.0475,0.0,0.05,0.10333333333333332,0.02
3421,0.01,0.01,0.05,0.01,0.01,0.01,0.03,0.02,0.06,0.145,0.02
3422,0.51,0.03,0.03,0.0,0.01,0.0,0.01,0.0,0.05,0.03,0.01
3423,0.0,0.02,0.0125,0.01,0.01,0.0,0.02,0.0,0.0,0.06,0.02
3424,0.07,0.02,0.06666666666666667,0.0,0.01,0.0,0.01,0.03,0.02,0.04,0.0
3425,0.03,0.01,0.07333333333333333,0.0,0.0,0.02,0.04,0.0,0.04333333333333334,0.142,0.0
3426,0.0,0.0,0.03,0.0,0.02,0.0,0.26,0.0,0.16,0.08,0.01
3427,0.01,0.09,0.8016666666666665,0.01,0.03,0.04,0.0775,0.013333333333333332,0.06,0.07,0.064
3428,0.0,0.0,0.01,0.0,0.01,0.02,0.065,0.0,0.05333333333333334,0.0,0.03
3429,0.0,0.01,0.3213333333333333,0.01,0.0,0.0,0.1,0.02,0.03,0.03,0.03
3430,0.03,0.01,0.04428571428571429,0.71,0.01,0.0,0.02,0.0,0.04666666666666666,0.05,0.0
3431,0.0,0.01,0.02,0.0,0.01,0.01,0.02,0.0,0.02,0.02,0.0
3432,0.0,0.01,0.02,0.0,0.01,0.0,0.04,0.03,0.07,0.215,0.03
3433,0.01,0.0,0.025,0.01,0.0,0.02,0.15333333333333332,0.0,0.23,0.065,0.0
3434,0.0,0.04666666666666666,0.04,0.0,0.0,0.0,0.02,0.01,0.025,0.02,0.005
3435,0.0,0.0,0.015,0.0,0.0,0.0,0.05,0.0,0.02,0.01,0.0
3436,0.0,0.0,0.01,0.03,0.02,0.0,0.04,0.0,0.04,0.0,0.0
3437,0.0,0.0,0.04,0.0,0.01,0.01,0.095,0.0,0.17,0.17,0.01
3438,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0775,0.11666666666666668,0.0
3439,0.0,0.35,0.17,0.0,0.08,0.0,0.02,0.0,0.53,0.71,0.0
